"id","Comm_tbl_IssueBoard_ID","IssuingBoardName","DateCreated"
877,"511DFA1E-074A-491D-82E8-9E72850ACFF5",American Board of Pathology/Hematology,2010-07-14 18:07:27.600
904,"56B482C2-F8B8-4CB4-ABEC-A0DF3866ABC8",American Osteopathic Board of Emergency Medicine,2010-07-14 18:07:27.600
882,"8FC6F72D-FE26-43A5-BE42-A195B8227EAF",American Board of Psychiatry/Neurology-Geriatrics,2010-07-14 18:07:27.600
861,A56E2CD9-4D4A-4402-8EFE-A2F0EC2B7881,American Board of IM/Hematology,2010-07-14 18:07:27.600
68,D470841F-E224-4259-8C41-A4BF3DAE2A9E,ABMS - Preventive Medicine,2001-07-14 15:03:35.000
849,A210375F-12CA-46B5-B63F-A5291C54FA5D,American Association of Nurse Anesthetists,2010-07-14 18:07:27.600
88,"27C6707B-A1A7-4C1C-BDE0-A6EF14F4F14A",AOA - Preventive Medicine,2001-07-14 15:03:35.000
54,"66805510-1841-4EC9-BB13-A8711579F0AE",ABMS - Emergency Medicine,2001-07-14 15:03:35.000
64,D41831D0-EBE5-4ADF-851D-ABD24EFC1873,ABMS - Pathology,2001-07-14 15:03:35.000
898,"3FEA384B-7C58-452D-B77B-AD57918B10C0",American Board of Thoracic Surgery,2010-07-14 18:07:27.600
945,"6966ABE3-9D3D-48D3-B25C-B16F883057D1",ABMS - Anesthesiology/Pain Medicine,2020-02-20 13:15:57.013
942,"5B38D847-22D4-44E6-B0B9-B46358032FB6",National Board of Echocardiography,2017-01-11 13:28:46.890
97,"678DDB23-1745-4A59-8F92-B4E92C38D76C",ADA - Oral and Maxillofacial Surgery,2001-07-14 15:03:35.000
878,"1ACDAE06-8378-4343-A530-B4EF479A3B26",American Board of Pathology/Cytopathology,2010-07-14 18:07:27.600
932,DAFFA80C-B11A-403E-8FCF-B56909FC3942,Natl Cert. Board of Ped. Nurse Pract. & Nurses,2010-07-14 18:07:27.600
936,"5F144C39-446B-4066-9E0B-B83CAB12EFB5",SURG,2010-07-14 18:07:27.600
70,A8389C0F-36A6-4F29-9A37-B851A8476916,ABMS - Radiology,2001-07-14 15:03:35.000
86,A33F334F-0F5C-4093-981B-B94395C1659E,AOA - Pathology,2001-07-14 15:03:35.000
209,"77360069-3216-4950-953D-BC3F64A759B7",American Board of Physical Medicine and Rehab,2005-06-11 13:39:30.420
928,"7D333C54-0BF5-4EF8-9A75-BE0594C3EA45",Pennsylvania State Board of Nursing,2010-07-14 18:07:27.600
